AlerteID,PortefeuilleID,ClientID,DateAlerte,TypeAlerte,Severite,Statut,Description,ValeurMesure,SeuilAlerte,DateResolution
ALT00044,PF00096,CLI0050,2024-09-10,Drawdown Excessif,Faible,Ouverte,Palais théâtre pays abri espoir fuir garde.,20.9,-6.18,2025-10-17
ALT00045,PF00103,CLI0035,2025-06-18,Concentration Secteur,Faible,Ignorée,Après en dangereux couper présence seconde fin couleur titre énorme.,11.38,-14.92,2025-10-03
ALT00046,PF00106,CLI0054,2024-12-20,Instrument Suspendu,Faible,En traitement,Art effacer conduire blond animer nuit entretenir visite.,5.4,10.46,2025-10-22
ALT00047,PF00100,CLI0031,2025-10-22,KYC Expiré,Modérée,En traitement,Siège espérer animal rire siège jaune train rideau attention craindre transformer.,-18.83,-2.39,2026-05-07
ALT00048,PF00096,CLI0012,2025-03-25,Limite Exposition Dépassée,Faible,Résolue,Ouvert fier rôle etc naturellement même ami chercher trois pas larme.,-23.38,-5.96,2026-03-06
ALT00049,PF00067,CLI0002,2025-08-23,Instrument Suspendu,Haute,Ouverte,Si prison courant que petit tranquille unique commander ça vie front plus officier.,20.17,2.93,2026-04-23
ALT00050,PF00028,CLI0068,2024-09-14,KYC Expiré,Faible,Ouverte,Vraiment ville public maintenir vision public comment jeune par.,15.61,-8.81,2026-04-15
ALT00051,PF00132,CLI0078,2026-03-04,Limite Exposition Dépassée,Modérée,Ignorée,Clef confiance voler large bande retomber.,-24.83,3.84,2026-02-16
ALT00052,PF00089,CLI0028,2024-06-03,KYC Expiré,Faible,En traitement,Riche avec celui attitude offrir signer surveiller auquel condition.,21.06,11.38,2025-09-29
ALT00053,PF00007,CLI0030,2025-01-19,Instrument Suspendu,Haute,Ignorée,Choix consentir promettre lui sauter répandre éviter mode glisser entendre heure presser saint.,18.38,0.15,2025-12-17
ALT00054,PF00054,CLI0053,2025-09-30,Dépassement VaR,Critique,Résolue,Fatiguer bataille barbe volonté arme juger tellement sujet.,26.63,-12.18,2026-03-18
ALT00055,PF00020,CLI0039,2026-04-20,Instrument Suspendu,Faible,Ouverte,Guère vaste quand grain refuser nouveau propre devoir par jusque séparer.,-16.74,-0.93,2026-02-21
ALT00056,PF00016,CLI0004,2024-10-12,Instrument Suspendu,Modérée,Résolue,Dos chaleur loup premier gris sombre muet train genou chair.,-24.56,0.38,2025-06-23
ALT00057,PF00132,CLI0025,2025-10-27,Dépassement VaR,Faible,Ouverte,Tout plan dépasser six étude homme tapis vieillard leur.,3.18,13.24,2025-08-08
ALT00058,PF00011,CLI0045,2024-08-03,Dépassement VaR,Haute,En traitement,Jeune droite flamme absolu science auteur madame digne tracer règle beau.,-15.96,-7.32,2025-12-16
ALT00059,PF00093,CLI0038,2024-08-01,Concentration Secteur,Modérée,En traitement,Ami contraire croire aucun également mince écarter ensemble travers.,3.8,-5.66,2026-04-30
ALT00060,PF00096,CLI0025,2026-01-02,KYC Expiré,Modérée,Résolue,Mal résistance un pencher science manquer satisfaire horizon.,16.31,12.1,2025-10-10
ALT00061,PF00146,CLI0046,2026-05-14,Drawdown Excessif,Critique,Ignorée,Assister instant importance vrai docteur feuille travers branche devoir.,-15.21,13.44,2025-07-13
ALT00062,PF00077,CLI0012,2026-03-17,Limite Exposition Dépassée,Haute,En traitement,Autre pointe et vide foi goût honte ville causer rôle.,-8.61,-1.9,2025-06-03
ALT00063,PF00080,CLI0100,2025-10-14,Instrument Suspendu,Critique,En traitement,Passer paysage beaux morceau désigner il écraser où désirer ici.,-15.0,-0.37,2025-11-10
ALT00064,PF00117,CLI0100,2024-11-12,Instrument Suspendu,Faible,En traitement,Fine indiquer retour brûler apercevoir malheur quoi aussitôt suite.,-15.54,10.64,2025-09-17
ALT00065,PF00089,CLI0069,2025-09-28,KYC Expiré,Faible,Résolue,Intérêt veiller soir aucun revoir bas qualité point arrière éclat rencontre.,-22.51,7.07,2026-04-11
ALT00066,PF00109,CLI0072,2025-11-22,Instrument Suspendu,Faible,En traitement,Personne tête terrible repas surveiller ami remonter appeler charger gens mauvais.,-8.95,-14.99,2025-06-29
ALT00067,PF00055,CLI0091,2024-07-26,Concentration Secteur,Modérée,Ouverte,Appel dehors aventure au précieux chaud mari côte.,-27.87,-11.27,2025-08-08
ALT00068,PF00054,CLI0052,2026-01-20,Dépassement VaR,Haute,Ignorée,Confondre quoi gris peau déchirer médecin portier droit être.,13.82,9.59,2025-07-28
ALT00069,PF00020,CLI0035,2025-08-19,Concentration Secteur,Modérée,Ouverte,Place au voyage en impossible droite quatre.,-14.73,-9.64,2026-03-03
ALT00070,PF00111,CLI0073,2026-01-09,Concentration Secteur,Faible,Ouverte,Pousser haut plan malheur mériter aucun trop facile.,26.67,-2.53,2025-10-03
ALT00071,PF00001,CLI0020,2024-11-01,Instrument Suspendu,Faible,En traitement,Jambe faim époque fin amour humain mourir présent salle avoir.,-12.17,13.24,2026-05-09
ALT00072,PF00005,CLI0072,2025-03-02,Drawdown Excessif,Faible,En traitement,Changer pourtant jouer cependant juge million un seuil ordre obliger lentement volonté.,-29.66,-5.93,2026-04-15
ALT00073,PF00137,CLI0054,2024-06-29,Dépassement VaR,Critique,En traitement,Encore fou entraîner fauteuil fils étude.,6.02,3.47,2026-05-03
ALT00074,PF00091,CLI0093,2024-12-09,Concentration Secteur,Critique,Résolue,Lire sorte échapper chaque croiser partager tout pauvre parti falloir.,-8.9,-0.63,2026-04-30
ALT00075,PF00045,CLI0049,2025-04-05,Limite Exposition Dépassée,Haute,Ouverte,Courant espace double projet vieil aujourd'hui mode sans double livre partir agir reconnaître.,24.62,12.27,2026-01-05
ALT00076,PF00110,CLI0035,2024-08-21,Drawdown Excessif,Critique,En traitement,Sommeil professeur mériter assez votre tôt solitude.,14.78,12.82,2025-10-23
ALT00077,PF00050,CLI0093,2025-04-12,Dépassement VaR,Modérée,Ignorée,Souvent déchirer je prochain vin hors auprès étranger état connaissance près habitant.,12.55,-5.19,2025-12-30
ALT00078,PF00129,CLI0083,2025-06-10,Concentration Secteur,Modérée,Ouverte,Maître roche lequel porter défendre installer colline énergie monter.,-21.11,14.09,2025-12-28
ALT00079,PF00009,CLI0082,2024-11-13,Drawdown Excessif,Faible,Ouverte,Chemin embrasser tête retour donc davantage amuser militaire guère fou.,13.26,7.83,2025-06-23
ALT00080,PF00142,CLI0008,2025-05-19,KYC Expiré,Critique,Ignorée,Souffrir secret bord supérieur relation mine étaler avouer voix mari.,22.21,-11.44,2025-06-13
ALT00081,PF00076,CLI0069,2026-03-09,Limite Exposition Dépassée,Faible,Ignorée,Animer métier étage prier poursuivre livrer souffrir présent ignorer même ainsi loi.,10.27,1.64,2025-07-29
ALT00082,PF00003,CLI0011,2025-10-20,Concentration Secteur,Haute,Résolue,Matière réduire tenir rire atteindre accomplir étudier songer pénétrer troubler.,-15.09,11.42,2025-10-19
ALT00083,PF00007,CLI0052,2026-04-16,Concentration Secteur,Faible,Résolue,Armée avance père accomplir commander groupe ça reprendre pénétrer large sous eh situation.,2.2,13.91,2025-12-26
ALT00084,PF00005,CLI0086,2024-11-22,Drawdown Excessif,Critique,En traitement,Savoir bon peur détail selon puis allumer chance bord seconde.,20.56,14.88,2025-10-12
ALT00085,PF00001,CLI0069,2025-10-06,Concentration Secteur,Faible,Ouverte,Répéter grand devant garçon objet carte prétendre inventer politique ceci ni.,-18.99,3.46,2026-04-27
ALT00086,PF00109,CLI0097,2024-07-23,Instrument Suspendu,Faible,Résolue,Confier gauche déclarer homme couleur coûter maintenant content nuit voisin tendre.,-2.49,7.1,2026-04-02
ALT00087,PF00102,CLI0071,2025-05-15,Concentration Secteur,Modérée,En traitement,Planche obtenir assez six question fusil nul prier fin pourtant avoir gloire.,-3.26,9.67,2025-12-21
ALT00088,PF00116,CLI0083,2025-04-22,Instrument Suspendu,Haute,Ouverte,Horizon classe problème hasard ligne durer porte.,-3.1,-1.21,2025-08-27
ALT00089,PF00130,CLI0045,2024-10-22,Limite Exposition Dépassée,Faible,Ignorée,Agent écrire arrêter expérience haute dehors.,24.54,-1.9,2025-07-22
ALT00090,PF00134,CLI0062,2024-11-24,Drawdown Excessif,Critique,Ouverte,Principe fait sept chercher odeur subir fermer passé tendre aimer dernier professeur corps voile.,24.54,-14.99,2026-04-28
ALT00091,PF00061,CLI0084,2024-08-09,Concentration Secteur,Modérée,En traitement,Rayon meilleur doucement recommencer après rapide père cuisine moi reprendre.,28.06,4.75,2025-07-14
ALT00092,PF00041,CLI0003,2024-06-11,KYC Expiré,Haute,Ignorée,Yeux soldat tempête aujourd'hui rapide tapis plein.,-8.48,11.4,2025-09-04
ALT00093,PF00035,CLI0009,2025-12-15,KYC Expiré,Critique,Résolue,Personne essuyer sans signer rassurer cas plaisir.,27.73,-1.94,2025-12-07
ALT00094,PF00001,CLI0019,2024-05-20,Limite Exposition Dépassée,Critique,Ouverte,Envie lumière monde dormir partir rêver diriger fleur derrière bruit fin rencontre.,-10.89,-13.93,2025-05-21
ALT00095,PF00030,CLI0099,2024-10-06,KYC Expiré,Faible,Ignorée,Soit chercher seigneur volonté fête avec interroger arrêter.,13.52,1.59,2025-05-24
ALT00096,PF00116,CLI0037,2025-07-11,Limite Exposition Dépassée,Haute,Ouverte,Briller souffler précipiter plaine titre poésie fermer an frapper grâce joli dame.,22.39,-11.96,2025-09-10
ALT00097,PF00132,CLI0080,2025-08-19,Limite Exposition Dépassée,Critique,Ouverte,Éternel faire mériter fort atteindre pensée.,-14.05,6.91,2026-02-21
ALT00098,PF00099,CLI0091,2025-10-14,Instrument Suspendu,Haute,Résolue,Écarter éclater faible général si soleil goutte supérieur bureau centre cinquante.,-10.24,-4.44,2025-08-12
ALT00099,PF00082,CLI0063,2026-02-10,Dépassement VaR,Faible,En traitement,Entrée de un sauvage placer accompagner se répéter ci accuser noire terminer.,-22.83,3.56,2025-06-26
ALT00100,PF00040,CLI0039,2025-07-20,Concentration Secteur,Haute,Résolue,Adresser printemps pendant autorité appeler lequel poitrine.,-23.92,-4.69,2026-01-06
ALT00101,PF00054,CLI0062,2024-06-25,Concentration Secteur,Modérée,Ignorée,Oreille composer but mince complètement gouvernement tirer.,3.17,1.34,2025-08-09
ALT00102,PF00016,CLI0017,2025-06-01,KYC Expiré,Haute,Ouverte,Front moyen premier commencement tâche chose arrière quartier.,-4.74,3.14,2025-08-29
ALT00103,PF00054,CLI0095,2025-11-19,KYC Expiré,Haute,Résolue,Dehors ressembler chien rang justice tâche.,6.05,11.55,2025-11-23
ALT00104,PF00122,CLI0099,2026-01-29,Dépassement VaR,Haute,Résolue,Conduire robe croire éclater repas foule.,29.08,5.58,2025-07-25
ALT00105,PF00035,CLI0088,2026-03-15,Concentration Secteur,Critique,Résolue,Rayon coin franc montagne absence leur contraire politique souffrance.,19.92,7.29,2025-06-08
ALT00106,PF00019,CLI0060,2025-11-06,Instrument Suspendu,Haute,Ouverte,Aucun finir empire imaginer seulement poste nu égal mon.,21.5,13.51,2026-04-11
ALT00107,PF00033,CLI0074,2025-05-18,Limite Exposition Dépassée,Modérée,Ignorée,Chemin vif gagner garder comme fin visage maison nouveau joindre tenir.,-15.34,-13.4,2025-12-31
ALT00108,PF00057,CLI0073,2024-07-10,Limite Exposition Dépassée,Faible,Ouverte,Aide près époque court mériter déposer.,4.05,-5.89,2025-09-03
ALT00109,PF00050,CLI0095,2024-12-08,Limite Exposition Dépassée,Modérée,Ouverte,Quand terre naturel soleil histoire rang suivre appartement jeu colère remercier musique.,-7.37,-12.7,2026-04-18
ALT00110,PF00047,CLI0081,2025-12-03,Dépassement VaR,Modérée,Résolue,Aussitôt comment un couper esprit essuyer suivre scène rôle étoile avoir couler éteindre.,27.25,7.83,2026-03-06
ALT00111,PF00043,CLI0020,2024-07-11,Limite Exposition Dépassée,Critique,Ignorée,Douze lisser respect avec mener as posséder conduire épais grave intention vérité exemple.,21.42,-2.69,2026-04-06
ALT00112,PF00050,CLI0053,2024-12-02,Concentration Secteur,Modérée,En traitement,Femme loi point recommencer exposer travailler.,-20.76,5.88,2026-05-06
ALT00113,PF00099,CLI0051,2024-11-13,KYC Expiré,Haute,En traitement,Recommencer autre rapidement dormir ombre réduire soutenir monsieur demi falloir.,-23.61,3.07,2025-08-26
ALT00114,PF00034,CLI0029,2026-05-03,Instrument Suspendu,Critique,Ouverte,Semaine père auteur chef moyen rêve travailler odeur auprès.,-4.54,2.63,2025-07-12
ALT00115,PF00082,CLI0060,2026-03-19,Concentration Secteur,Haute,Ignorée,Présence glace fumée double hier puis payer.,6.74,1.55,2025-12-09
ALT00116,PF00030,CLI0028,2024-11-24,Drawdown Excessif,Modérée,Résolue,Traverser savoir type vaste ci plante bouche cause chair veille.,-14.01,9.68,2026-04-01
ALT00117,PF00031,CLI0030,2026-03-25,Instrument Suspendu,Critique,En traitement,Fonction étendue nouveau plaindre étoile pareil quand branche rose éteindre.,11.47,11.57,2025-10-04
ALT00118,PF00062,CLI0064,2025-08-10,Concentration Secteur,Modérée,Résolue,Plante en fatigue nul presser nuage.,27.62,-0.54,2025-10-02
ALT00119,PF00127,CLI0026,2025-11-27,Limite Exposition Dépassée,Critique,Ouverte,Recevoir tour prouver un autrefois terminer toucher mon sourd.,-19.84,12.77,2025-07-19
ALT00120,PF00044,CLI0072,2024-08-07,Dépassement VaR,Faible,Ignorée,Chez nul puis beau leur liberté remarquer.,12.92,13.41,2026-02-17
ALT00121,PF00092,CLI0098,2025-07-30,Dépassement VaR,Critique,Résolue,Bord bande quinze cesse indiquer champ quand.,-9.74,-8.78,2026-04-19
ALT00122,PF00073,CLI0089,2025-08-20,Concentration Secteur,Critique,Ignorée,Divers tenir nord magnifique roche joie espace groupe.,26.34,-2.65,2025-09-12
ALT00123,PF00023,CLI0031,2024-07-14,Drawdown Excessif,Modérée,Résolue,Renoncer moyen visible noir étude étouffer matière passé face.,-3.73,-2.66,2025-11-29
ALT00124,PF00053,CLI0009,2025-12-13,Drawdown Excessif,Haute,Résolue,Flamme contenir colère village autorité vol foi chasse regarder nous cas.,25.12,-8.17,2026-04-14
ALT00125,PF00100,CLI0043,2025-11-12,Drawdown Excessif,Modérée,Résolue,Grand autre éclater puis pourquoi creuser étendue profondément village premier ceci principe.,-1.62,13.08,2026-02-25
ALT00126,PF00105,CLI0032,2024-09-21,Concentration Secteur,Haute,Ignorée,Espoir ressembler cabinet attention par abandonner interrompre chambre aventure étroit spectacle.,-11.25,0.6,2025-08-30
ALT00127,PF00111,CLI0091,2024-10-08,Concentration Secteur,Critique,Résolue,Facile moyen île avant étage bien.,10.45,10.33,2025-06-08
ALT00128,PF00063,CLI0033,2024-07-08,Limite Exposition Dépassée,Faible,Résolue,Aucun marier sujet défendre étage rapporter couleur élément faire employer nul.,1.0,-11.55,2025-05-24
ALT00129,PF00025,CLI0099,2025-12-29,Concentration Secteur,Faible,En traitement,Beaucoup été lever avec rare reste rue nommer entre roche résoudre course.,27.56,-7.39,2026-01-19
ALT00130,PF00061,CLI0016,2024-11-28,Dépassement VaR,Critique,Ignorée,Règle paysage acheter montrer inconnu homme marquer premier faux puisque que je.,27.06,-5.6,2025-08-21
ALT00131,PF00039,CLI0011,2024-06-22,Concentration Secteur,Critique,En traitement,Avancer grâce posséder aussi hôtel tour.,11.14,4.75,2025-05-30
ALT00132,PF00003,CLI0088,2025-02-27,KYC Expiré,Faible,Ignorée,Désert professeur cruel payer usage banc arrivée.,13.92,-3.16,2026-03-12
ALT00133,PF00108,CLI0068,2026-04-24,Limite Exposition Dépassée,Faible,Ouverte,Précipiter forme silence école remercier manger.,3.7,-9.36,2025-11-11
ALT00134,PF00076,CLI0060,2025-11-23,Instrument Suspendu,Haute,Ouverte,Portier agent terreur digne crier sentiment répandre dormir conduire.,-16.29,2.53,2025-12-20
ALT00135,PF00117,CLI0064,2025-11-08,Limite Exposition Dépassée,Critique,Résolue,Triste barbe chercher intelligence article haute action important.,18.21,10.54,2025-05-20
ALT00136,PF00003,CLI0092,2025-12-11,Limite Exposition Dépassée,Faible,En traitement,Encore fin salle écraser air jardin.,5.81,-5.42,2026-01-06
ALT00137,PF00061,CLI0027,2025-04-06,Concentration Secteur,Critique,Ignorée,Partager joue pendre titre sentiment passé voisin manger paysage premier.,-2.16,-0.12,2026-01-21
ALT00138,PF00149,CLI0002,2024-12-05,Concentration Secteur,Haute,En traitement,Commencer selon se devant au envelopper bras lueur disposer consulter.,-7.23,-1.87,2025-09-03
ALT00139,PF00020,CLI0005,2025-04-09,Dépassement VaR,Modérée,Ouverte,Haute détacher avis loi agiter faveur titre peine prouver terre descendre former rouler.,-7.5,-13.79,2025-12-19
ALT00140,PF00008,CLI0047,2026-04-23,Limite Exposition Dépassée,Modérée,En traitement,Vieillard médecin pendre considérer tapis voilà.,11.9,10.73,2025-10-07
ALT00141,PF00034,CLI0014,2024-06-20,Concentration Secteur,Modérée,Ouverte,Vif accent politique maître cour ressembler circonstance machine gauche vendre.,23.32,-3.7,2025-05-27
ALT00142,PF00141,CLI0039,2024-10-21,Drawdown Excessif,Critique,En traitement,Pensée médecin soumettre machine causer succès.,6.38,6.1,2025-05-24
ALT00143,PF00063,CLI0008,2025-10-18,Concentration Secteur,Haute,Ouverte,Absence année tant considérer système reste mémoire convenir un masse recueillir remplacer exécuter.,-8.53,2.72,2026-03-21
ALT00144,PF00117,CLI0069,2025-05-14,Concentration Secteur,Haute,En traitement,Recommencer toit depuis petit adresser appartenir elle paix désert étudier fin même papa.,-20.11,-13.86,2026-03-13
ALT00145,PF00098,CLI0046,2026-03-21,Instrument Suspendu,Modérée,Résolue,Rue étranger vert partie rose dangereux garder bon content chien militaire robe éclater.,-0.91,5.31,2025-12-17
ALT00146,PF00077,CLI0008,2024-12-21,Drawdown Excessif,Haute,Ignorée,Vin miser rose voyager satisfaire profondément combien oser importer tant gauche valoir.,-20.26,-0.48,2025-12-15
ALT00147,PF00143,CLI0006,2025-11-06,Concentration Secteur,Critique,Ouverte,Cause au valoir main servir intérieur ce rompre métier.,-17.35,0.72,2025-07-07
ALT00148,PF00001,CLI0041,2025-01-20,Limite Exposition Dépassée,Faible,En traitement,Pas demi yeux cinquante énorme défaut cela.,25.14,13.8,2025-12-06
ALT00149,PF00108,CLI0032,2025-12-12,Dépassement VaR,Faible,En traitement,Avancer souvenir poursuivre juste barbe répondre durer maintenant certes enfermer.,15.42,-2.96,2025-11-27
ALT00150,PF00028,CLI0084,2025-11-17,KYC Expiré,Faible,Résolue,Grave public simplement groupe personnage espèce vers mesure or homme coin.,22.86,-13.03,2026-04-23
ALT00151,PF00057,CLI0043,2025-08-03,KYC Expiré,Modérée,Résolue,Descendre conduire trembler envelopper retirer diriger réfléchir mal désir marcher.,-22.71,9.47,2025-09-18
ALT00152,PF00129,CLI0079,2025-04-11,Limite Exposition Dépassée,Critique,En traitement,Peau prière quitter force protéger condition inviter.,3.73,-6.23,2026-03-17
ALT00153,PF00146,CLI0017,2024-09-04,Drawdown Excessif,Critique,Ignorée,Projet attacher bien argent arracher vaste milieu sans quitter enfoncer exprimer.,2.19,11.51,2026-04-02
ALT00154,PF00060,CLI0001,2026-02-15,KYC Expiré,Modérée,En traitement,Certainement cause marier long bientôt tout fermer.,8.73,7.07,2026-05-05
ALT00155,PF00015,CLI0068,2026-03-12,Concentration Secteur,Modérée,Ignorée,Également assez bureau imaginer exposer entourer gens exposer éternel remarquer quel supporter.,-7.4,-6.22,2025-10-16
ALT00156,PF00096,CLI0016,2026-05-08,KYC Expiré,Faible,Ignorée,Réduire foi beaux expliquer lune sable aujourd'hui fumée suivant.,3.07,-7.39,2025-12-25
ALT00157,PF00017,CLI0024,2026-03-06,Limite Exposition Dépassée,Critique,Résolue,Choisir éternel comment lutte écarter centre.,12.49,-0.8,2025-08-30
ALT00158,PF00138,CLI0098,2024-10-29,Limite Exposition Dépassée,Faible,Résolue,Planche jeter port veille sujet souffrir fête frapper faim bon.,-0.75,-4.36,2026-02-19
ALT00159,PF00088,CLI0046,2024-11-30,Drawdown Excessif,Faible,Ouverte,Noir mériter d'autres aide famille chanter.,-28.44,0.24,2025-07-17
